Student_ID,Age,Study_Hours_Per_Week,Attendance_Percentage,Assignment_Score,Internal_Marks,CGPA
STU001,24,17,91,79,62,9.94
STU002,21,7,85.5,61,78,7.14
STU003,22,10,80.8,60,58,6.92
STU004,24,12,60.8,81,92,8.4
STU005,20,31,91.5,90,51,6.09
STU006,25,13,91.9,97,55,9.75
STU007,22,37,83.2,82,57,8.93
STU008,22,28,91.9,95,78,5.45
STU009,24,19,84.3,60,78,7.09
STU010,19,36,64.3,70,49,9.4
STU011,20,36,67.3,35,92,9.72
STU012,24,28,64.7,42,90,7.34
STU013,20,16,72,86,78,8.07
STU014,20,6,56.8,81,30,5.84
STU015,25,7,82.8,90,42,9.96
STU016,22,21,70.1,48,80,6.16
STU017,21,6,84.5,62,85,9.71
STU018,25,6,72.3,36,91,8.25
STU019,25,32,85.7,60,61,8.04
STU020,20,27,70.3,48,59,7.56
STU021,23,36,66.7,93,58,6.15
STU022,22,37,77.3,90,78,5.88
STU023,19,5,86.2,41,74,6.1
STU024,25,23,70.7,37,59,5.93
STU025,21,6,97.1,57,45,8.9
STU026,23,30,56.8,52,69,6.75
STU027,23,36,73.8,72,48,5.29
STU028,19,10,98.5,49,47,9.85
STU029,25,36,79.7,98,30,9.42
STU030,21,8,74.1,62,76,9.64
STU031,22,15,80.6,73,95,9.97
STU032,18,21,80.9,91,67,5.87
STU033,21,28,87.9,51,80,6.98
STU034,19,9,60.7,78,92,8.79
STU035,23,38,66.3,59,33,8.48
STU036,22,10,81.1,51,30,5.77
STU037,21,26,94,47,37,9.08
STU038,18,15,80.3,59,58,6.12
STU039,18,20,65.7,44,84,6.12
STU040,20,37,85.6,52,32,7.68
STU041,20,13,88.3,68,61,7.96
STU042,24,10,65.7,42,39,7.9
STU043,19,20,72,74,63,5.46
STU044,25,33,79,76,84,9.39
STU045,21,7,77.3,75,61,6.33
STU046,21,24,72.5,40,79,5.65
STU047,25,40,68.4,86,36,9.44
STU048,24,23,59.5,60,37,9.78
STU049,23,30,57.4,98,94,9.31
STU050,23,7,98.1,93,86,9.05
STU051,24,23,93.1,90,88,8.28
STU052,23,24,71,93,83,7.75
STU053,20,36,98.1,67,80,5.43
STU054,21,11,85.5,87,37,7.04
STU055,24,37,76.7,56,63,6.86
