Order_ID,Date,Region,Category,Product,Quantity,Unit_Price,Sales,Cost,Profit,Customer_Type,Payment_Method
1,2025-05-06,East,Electronics,Laptop,8,740.71,5925.68,3441.33,2484.35,Individual,Bank Transfer
2,2025-04-22,North,Electronics,Laptop,8,2551.51,20412.08,11389.14,9022.94,Individual,Bank Transfer
3,2025-01-04,East,Furniture,Table,6,3505.79,21034.74,13716.23,7318.51,Individual,Card
4,2025-07-14,North,Clothing,T-Shirt,4,1826.95,7307.8,4773.36,2534.44,Business,Cash
5,2025-07-13,North,Grocery,Cooking Oil,3,2782.6,8347.8,6668.4,1679.4,Business,Card
6,2025-05-29,South,Electronics,Laptop,3,4283.82,12851.46,10408.98,2442.48,Business,UPI
7,2025-07-09,South,Grocery,Tea,12,1087.06,13044.72,8219.39,4825.33,Individual,Card
8,2025-08-25,South,Stationery,Pen,13,1386.24,18021.12,14914.59,3106.53,Individual,UPI
9,2025-06-11,North,Electronics,Smartphone,13,1375.32,17879.16,10965.2,6913.96,Business,Card
10,2025-03-15,West,Grocery,Sugar,9,741.17,6670.53,5159.63,1510.9,Business,Bank Transfer
11,2025-04-23,East,Stationery,File,5,2572.16,12860.8,7424.19,5436.61,Individual,Cash
12,2025-11-02,West,Furniture,Desk,3,1954.6,5863.8,4273.34,1590.46,Business,UPI
13,2025-12-16,North,Stationery,Notebook,18,3766.85,67803.3,52925.87,14877.43,Business,Cash
14,2025-08-21,South,Clothing,Shoes,1,4771.39,4771.39,3877.98,893.41,Business,Card
15,2025-11-24,East,Stationery,Notebook,17,3064.4,52094.8,31040.78,21054.02,Individual,Cash
16,2025-01-10,West,Stationery,Marker,4,4649.04,18596.16,15130.14,3466.02,Business,Card
17,2025-02-13,North,Electronics,Smartphone,16,4089.32,65429.12,55182.62,10246.5,Individual,Card
18,2025-05-16,South,Grocery,Cooking Oil,17,4368.54,74265.18,50273.17,23992.01,Individual,Card
19,2025-08-13,East,Clothing,Shoes,17,2284.86,38842.62,24252.23,14590.39,Individual,UPI
20,2025-10-29,South,Electronics,Monitor,8,85.59,684.72,522,162.72,Individual,Card
21,2025-02-06,East,Electronics,Laptop,17,1228.12,20878.04,15673.01,5205.03,Individual,Card
22,2025-05-05,West,Stationery,Stapler,16,4047.11,64753.76,39313.5,25440.26,Individual,Bank Transfer
23,2025-08-28,West,Clothing,Shoes,2,3383.15,6766.3,5719.21,1047.09,Individual,Cash
24,2025-05-08,North,Grocery,Tea,7,991.53,6940.71,4751.5,2189.21,Business,Card
25,2025-02-08,South,Clothing,Shoes,15,4049.71,60745.65,49008.99,11736.66,Individual,Cash
